	1
1	1.0000000000000018
2	0.1675917370330316
3	0.0491389624623994
4	0.0661580541407541
5	0.3776530333171685
6	0.4293619158413059
7	0.4400734002843362
8	0.3126987832602257
9	0.077908860549331
10	0.373659663882824
11	0.3068283589809547
12	0.3000161392792182
13	0.4371081721606936
14	0.3198910015771177
15	0.1712662937035003
16	0.391103305150841
17	0.1642825921414819
18	0.4613392296537872
19	0.0830036440807172
20	0.1923395210294988
21	0.1829200925143923
22	0.3440193868993448
23	0.4065077680527332
24	0.2467408935043316
25	0.2850683678816668
26	0.2049297656009264
27	0.0818080783997179
28	0.2441207173436788
29	0.090356828336134
30	0.1299779533709907
31	0.0830568595426608
32	0.1318605497284165
33	0.0298065435112929
34	0.0280477168304315
35	0.0293371197881245
36	0.0260277296907808
37	0.1828836697720407
38	0.1590319022166178
39	0.0386795878953427
40	0.0488041953481434
41	0.1885296021780864
42	0.3011474286702306
43	0.3297033780757755
44	0.363089774892698
45	0.1183339504633485
46	0.0672199369043721
47	0.0382254739145765
48	0.1300991194413639
49	0.2353711406430867
50	0.0526071968728623
51	0.0891094327023532
52	0.1192956680682579
53	0.108340323153153
54	0.10782699170767
55	0.0767651715572057
56	0.3040494395184767
57	0.161667427570662
58	0.2887707692767182
59	0.4060986580803563
60	0.2826045865707421
61	0.0252720610529605
62	0.3203292312538572
63	0.1291673605737223
64	0.3262249272638851
65	0.1703632013936629
66	0.068490390131415
67	0.0645213611527278
68	0.0653282118879475
69	0.1538972107393855
70	0.2045395994743879
71	0.0995395057490978
72	0.2318119122557092
73	0.1506017720188491
74	0.0646086441313208
75	0.0966565579828222
76	0.1379943540178105
77	0.1731650837969925
78	0.031614334859332
79	0.0948612871282321
80	0.0716949111317476
81	0.0792600458413288
82	0.1737368151292527
83	0.1506080078148642
84	0.0889093711529111
85	0.2512902018147478
86	0.0324960207943391
87	0.2415181130735979
88	0.0163825038804563
89	0.1383843006010629
90	0.2463057344343425
91	0.115712554539153
92	0.3301645634113785
93	0.0381412649832741
94	0.3142367640823702
95	0.2637187695124361
96	0.1314640108877309
97	0.1320904877349424
98	0.0424925680316759
99	0.1274819128598063
100	0.0292297311613536
