	mean	std	_5	_6	_7	skewness
618	0.9652664924189069	0.1156027350317192	0.9887594055676112	0.9956617991123848	0.9965329314341448	-5.482170221578383
796	0.9651638792632043	0.1149197977577017	0.9886410937874334	0.9952429126698304	0.9960339307436198	-5.4913866953934205
804	0.9652444935901219	0.11513205332589001	0.988704811449062	0.995403527450566	0.9962980951581186	-5.484403500848998
809	0.9651677508584968	0.11997865143743817	0.9881339215404672	0.997398515527662	0.9990388631880351	-5.389138388938037
818	0.9651663685600195	0.1199515583451168	0.9881430817302013	0.9974017918803972	0.9990297153474073	-5.389949276519186
820	0.9651647933378101	0.12002070381672733	0.9881864411332764	0.9974449979699146	0.9990702318657304	-5.389602871395507
858	0.9651508021854125	0.1199679786861167	0.988017666436261	0.997414701011819	0.9990270455499382	-5.389101793078566
864	0.9657151968169011	0.11536214550138704	0.9893036621407911	0.9959967050150322	0.9968531487295273	-5.487787070137265
873	0.9651430749363634	0.12005399213180754	0.9879590000683043	0.9974190637506084	0.9990715692742449	-5.388478287185505
915	0.9651476101538248	0.12002565532266728	0.9881221626575591	0.9974209281550844	0.9990443307724426	-5.3875691990838055
920	0.9651679809115834	0.11999757633827018	0.9881495565394047	0.997423487634726	0.9990705756258009	-5.387492091248053
926	0.9652212103436207	0.11996843269937418	0.9881701005795973	0.9975126338536024	0.9990789609177975	-5.389369633881846
2	0.09002805535921715	0.043133557831057726	0.07264698874220851	0.0782959351497028	0.09191431725855781	11.596507922977434
4	0.19188962382914157	0.031401159981977	0.18491702004599656	0.1881716686798922	0.19381567505996625	18.156114833815245
6	0.14461723360224157	0.06090792698207234	0.1144998079169466	0.1251801282882421	0.15008578086649965	5.531751487829662
8	0.2720649752012006	0.03756484736164264	0.25598440399756384	0.2619904924728478	0.27733698348574776	8.818442815548483
10	0.2013225332537389	0.05212896213136618	0.1755407835247032	0.1852735782452878	0.2067414838805614	6.114082862747356
12	0.3664015237433322	0.03503760178689391	0.3550522640810829	0.3608185517770851	0.3739714723030385	5.300703227487282
14	0.3387774760284624	0.036034528246809715	0.3226702721561948	0.3302619131311662	0.34473701972320914	6.710428682283018
16	0.3172501778598092	0.0440887873470454	0.2945825243590211	0.3042003412328906	0.325108930359978	5.072022157350083
17	0.6964420338254811	0.07007166983375353	0.7058001431713952	0.7083069784771225	0.7120866015629455	-5.726739888900588
19	0.7439020432087101	0.07890186876292482	0.7592485958184128	0.7611880031705899	0.7631142189059534	-5.624641029387567
20	0.6545175131959932	0.06039174387060916	0.6582985728374349	0.6624549430147727	0.669146353312422	-5.7561523901191265
22	0.480041012384631	0.040270394121231005	0.46994988470410065	0.4756307866045498	0.4894742872550243	-0.9086467659997797
24	0.5594626800408863	0.043395981212212054	0.555231162186858	0.5603359703065476	0.5703403780779832	-3.9906412650051655
26	0.6387681505361308	0.056109518815570456	0.6386597811693874	0.6429379451761106	0.6516942034302802	-5.1775004052815605
27	0.8291652109678785	0.09340631353808745	0.8480487940125573	0.8503265859801858	0.8520351176273644	-5.685171560649086
28	0.6357466641046194	0.052408525841229146	0.6363374580275656	0.6398280509240235	0.648704086074119	-5.517366626715505
29	0.7816098888022704	0.08445377217505885	0.7981251396331028	0.8002415233525215	0.8024699156004653	-5.559961272668826
30	0.7503875427913654	0.07486367665463074	0.763009501755666	0.7654657049493998	0.7681362368534741	-5.797318721484671
31	0.7687254348923634	0.08526393510821642	0.7861575242209922	0.7886494797225454	0.7902342573904704	-5.430762439266104
33	0.8509023672283954	0.09848054725142186	0.8694053033595313	0.8739741425663685	0.8763091838310352	-5.555583278112823
34	0.8456148015212025	0.10027786433668132	0.8650249488693028	0.8709003185270716	0.8724397853854139	-5.430226885427568
35	0.8851211320488531	0.1054531861622508	0.905271360480348	0.9115211880502484	0.9133701101049185	-5.462443875707809
36	0.8678371339820685	0.10475683463036892	0.8877144203245623	0.8945628930167365	0.8959503963365612	-5.435386438747618
37	0.7804616586216784	0.07824884867699954	0.7917451384306059	0.7942154898129807	0.7993102854399075	-5.917263827517887
38	0.6441742499398602	0.061209748217122106	0.6502551489654569	0.6524594020375899	0.6577321499670783	-5.5889134818409705
39	0.8816515586599791	0.10260030441429488	0.9015657740729925	0.9062971032878644	0.908359724215297	-5.505319831974609
40	0.8868457737509745	0.10282347751466366	0.9069304450877969	0.9119655662040655	0.9140547768591436	-5.4674593721409765
41	0.8158721590068019	0.07962484057076565	0.8280773851798248	0.8303154008568806	0.8365197612644678	-5.893617797664782
43	0.6146642252397021	0.0434151116763423	0.605936487691677	0.6128208842597638	0.6259038810719193	-3.6819795642518214
44	0.6933029511524604	0.052859946659398506	0.689792735438945	0.6955523001427412	0.707162897607106	-5.703323354696583
45	0.8495516193116037	0.09200426692356276	0.8668821245732807	0.8693736434908176	0.872358408418408	-5.765999413836588
46	0.880639029347312	0.09953893186005963	0.901003620480059	0.9040857450183264	0.9058026571768557	-5.624064447236665
47	0.902081949804266	0.10559161883858861	0.9222531635100526	0.928360241238742	0.9301177602876205	-5.450396099938053
48	0.8187307773848185	0.0816973099927402	0.832960894553157	0.8346589356128609	0.8394587193947864	-5.815772573991374
49	0.7414694220765599	0.06824126321256793	0.7496774267684445	0.751962210544029	0.7575000025130114	-5.826373820602505
50	0.9091404397867618	0.10827138463228773	0.9307669855752548	0.9366283042724732	0.9377676953913581	-5.503055439207753
52	0.8326123661021817	0.0873851569427129	0.8491157782942812	0.8510629210646254	0.8536073704384537	-5.817810504920023
53	0.9077017154356013	0.10192344969964606	0.9286599245417722	0.9315201578940429	0.9334551025638914	-5.698682312625477
54	0.8506944228148445	0.09048041535166972	0.8667180815069531	0.8691343388482856	0.8721583174951715	-5.797571479673137
56	0.7374077907346276	0.06238748710756868	0.7378903505340763	0.7425448415864788	0.7534605111568841	-6.007081713939592
57	0.824087967368109	0.08238094653498117	0.8363222329831199	0.839056876522207	0.8435996497278183	-5.984283232314645
58	0.7549863881999598	0.06457632342552137	0.7593993575452254	0.7633082732350723	0.771170305858659	-5.955791864821807
60	0.7104346900611735	0.05780869048145188	0.7101043132902709	0.7146200552854197	0.7264768346324881	-5.94371245891848
61	0.9419001832618978	0.11349004225123767	0.9635498943119782	0.971304399264852	0.972853877716614	-5.451971641936307
62	0.7609561460460735	0.062251272885070215	0.7619167072420334	0.7673747835991571	0.7771085671100584	-6.0780552771804395
